X,Y,no,x,y,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,icon_url
119.844318791667,-0.691689744444444,19.01.118,119.844319,-0.691690,,,,,,,,,,,./0.png
119.850005808333,-0.66507255,19.01.119,119.850006,-0.665073,,,,,,,,,,,./0.png
119.863608119444,-0.656651202777778,19.01.120,119.863608,-0.656651,,,,,,,,,,,./0.png
119.848166736111,-0.653956277777778,19.01.121,119.848167,-0.653956,,,,,,,,,,,./0.png
119.831093894444,-0.668740891666667,19.01.122,119.831094,-0.668741,,,,,,,,,,,./0.png
119.819740663889,-0.664976775,19.01.123,119.819741,-0.664977,,,,,,,,,,,./0.png
119.840629061111,-0.635304897222222,19.01.124,119.840629,-0.635305,,,,,,,,,,,./0.png
119.806100461111,-0.621699913888889,19.01.125,119.806100,-0.621700,,,,,,,,,,,./0.png
119.835206666667,-0.590248513888889,19.01.126,119.835207,-0.590249,,,,,,,,,,,./0.png
119.826251269444,-0.553842488888889,19.01.127,119.826251,-0.553842,,,,,,,,,,,./0.png
119.785782963889,-0.557502766666667,19.01.128,119.785783,-0.557503,,,,,,,,,,,./0.png
119.821125072222,-0.524865780555556,19.01.129,119.821125,-0.524866,,,,,,,,,,,./0.png
119.835748619444,-0.519514902777778,19.01.130,119.835749,-0.519515,,,,,,,,,,,./0.png
119.788153883333,-0.492919941666667,19.01.131,119.788154,-0.492920,,,,,,,,,,,./0.png
119.764733636111,-0.478593177777778,19.01.132,119.764734,-0.478593,,,,,,,,,,,./0.png
119.771508422222,-0.433183827777778,19.01.133,119.771508,-0.433184,,,,,,,,,,,./0.png
119.806321144444,-0.418330672222222,19.01.134,119.806321,-0.418331,,,,,,,,,,,./0.png
119.800744694444,-0.403955430555556,19.01.135,119.800745,-0.403955,,,,,,,,,,,./0.png
119.767451169444,-0.404013730555556,19.01.136,119.767451,-0.404014,,,,,,,,,,,./0.png
120.557052877778,-1.18505836388889,19.04.060,120.557053,-1.185058,,,,,,,,,,,./0.png
120.558338322222,-1.19553145,19.04.061,120.558338,-1.195531,,,,,,,,,,,./0.png
120.558028605556,-1.21357544166667,19.04.062,120.558029,-1.213575,,,,,,,,,,,./0.png
120.559597805278,-1.20340138333333,19.04.063,120.559598,-1.203401,,,,,,,,,,,./0.png
120.569842655556,-1.21919821666667,19.04.064,120.569843,-1.219198,,,,,,,,,,,./0.png
120.563358480556,-1.23473075,19.04.065,120.563358,-1.234731,,,,,,,,,,,./0.png
120.563457291667,-1.23562375277778,19.04.066,120.563457,-1.235624,,,,,,,,,,,./0.png
120.569842655556,-1.25698676666667,19.04.067,120.569843,-1.256987,,,,,,,,,,,./0.png
120.565458280556,-1.26507039722222,19.04.068,120.565458,-1.265070,,,,,,,,,,,./0.png
120.565437327778,-1.2653392,19.04.069,120.565437,-1.265339,,,,,,,,,,,./0.png
120.563473433333,-1.28953658055556,19.04.070,120.563473,-1.289537,,,,,,,,,,,./0.png
120.591963252778,-1.29757424166667,19.04.071,120.591963,-1.297574,,,,,,,,,,,./0.png
120.607088786111,-1.28871349444444,19.04.072,120.607089,-1.288713,,,,,,,,,,,./0.png
120.608298763889,-1.31482662777778,19.04.073,120.608299,-1.314827,,,,,,,,,,,./0.png
120.606249619444,-1.32100337222222,19.04.074,120.606250,-1.321003,,,,,,,,,,,./0.png
120.620639386111,-1.30244243611111,19.04.075,120.620639,-1.302442,,,,,,,,,,,./0.png
120.623121377778,-1.30541800833333,19.04.076,120.623121,-1.305418,,,,,,,,,,,./0.png
120.646360602778,-1.33053785277778,19.04.077,120.646361,-1.330538,,,,,,,,,,,./0.png
120.646546113889,-1.33089803055556,19.04.078,120.646546,-1.330898,,,,,,,,,,,./0.png
120.638291861111,-1.35741317777778,19.04.079,120.638292,-1.357413,,,,,,,,,,,./0.png
120.616823555556,-1.35181795833333,19.04.080,120.616824,-1.351818,,,,,,,,,,,./0.png
120.595415341667,-1.35161785555556,19.04.081,120.595415,-1.351618,,,,,,,,,,,./0.png
120.596494438889,-1.35224078888889,19.04.082,120.596494,-1.352241,,,,,,,,,,,./0.png
120.637303255556,-1.36355446666667,19.04.083,120.637303,-1.363554,,,,,,,,,,,./0.png
120.628484177778,-1.34565318055556,19.04.084,120.628484,-1.345653,,,,,,,,,,,./0.png
120.628586619444,-1.37959626111111,19.04.085,120.628587,-1.379596,,,,,,,,,,,./0.png
120.621254505556,-1.37993354166667,19.04.086,120.621255,-1.379934,,,,,,,,,,,./0.png
121.843225463889,-2.35018564444444,19.06.020,121.843225,-2.350186,,,,,,,,,,,./0.png
121.827386075,-2.338236875,19.06.021,121.827386,-2.338237,,,,,,,,,,,./0.png
121.836461355556,-2.33223496111111,19.06.022,121.836461,-2.332235,,,,,,,,,,,./0.png
121.611614444444,-2.27293384166667,19.06.023,121.611614,-2.272934,,,,,,,,,,,./0.png
121.773826163889,-2.26163068055556,19.06.024,121.773826,-2.261631,,,,,,,,,,,./0.png
121.763387966667,-2.288993025,19.06.025,121.763388,-2.288993,,,,,,,,,,,./0.png
121.758083880556,-2.27028499444444,19.06.026,121.758084,-2.270285,,,,,,,,,,,./0.png
121.758224236111,-2.25449495555556,19.06.027,121.758224,-2.254495,,,,,,,,,,,./0.png
121.580025661111,-2.21414741666667,19.06.028,121.580026,-2.214147,,,,,,,,,,,./0.png
121.570060005556,-2.23163585555556,19.06.029,121.570060,-2.231636,,,,,,,,,,,./0.png
121.566591175,-2.21433901111111,19.06.030,121.566591,-2.214339,,,,,,,,,,,./0.png
121.554586008333,-2.21203556388889,19.06.031,121.554586,-2.212036,,,,,,,,,,,./0.png
121.528854938889,-2.17763280277778,19.06.032,121.528855,-2.177633,,,,,,,,,,,./0.png
121.541543911111,-2.19863679444444,19.06.033,121.541544,-2.198637,,,,,,,,,,,./0.png
121.545517519444,-2.20020791388889,19.06.034,121.545518,-2.200208,,,,,,,,,,,./0.png
